DEPT,GR,NPHI,RDEEP,RHOB
1998.726,75.60465241,0.534238398,2.349619389,2.210000038
1998.8784,73.32366943,0.515354216,2.411543846,2.210000038
1999.0308,76.50665283,0.440468192,2.622058868,2.210000038
1999.1832,77.25356293,0.460490376,2.8564291,2.210000038
1999.3356,78.40519714,0.487844259,2.903275013,2.188999891
1999.488,75.42132568,0.442343086,2.878100157,2.229000092
1999.6404,71.32875061,0.400369346,3.057646751,2.243000031
1999.7928,73.34848023,0.409702152,3.216189146,2.290999889
1999.9452,77.52877808,0.433497429,3.396664381,2.316999912
2000.0976,81.84490204,0.426244676,3.586801529,2.269000053
2000.25,84.29620361,0.418070555,3.590094328,2.21600008
2000.4024,81.58067322,0.42257005,3.33327055,2.174999952
2000.5548,77.15887451,0.453843027,2.982499838,2.219000101
2000.7072,78.41677094,0.392141521,2.847025871,2.263999939
2000.8596,79.67394257,0.417655796,2.932009459,2.279999971
2001.012,85.11386108,0.424733073,2.797994375,2.269999981
2001.1644,78.39466858,0.487792105,2.774672508,2.239000082
2001.3168,77.365242,0.488840342,2.729863405,2.210000038
2001.4692,76.08751679,0.495031446,2.590753555,2.210000038
2001.6216,78.83363342,0.475678235,2.506334782,2.210000038
2001.774,78.22229004,0.485304952,2.544148922,2.210000038
2001.9264,74.97440338,0.53500694,2.439775705,2.210000038
2002.0788,74.98719025,0.585185111,2.528455734,2.210000038
2002.2312,72.40522003,0.534032404,2.895580053,2.328999996
2002.3836,75.83548737,0.459342837,3.122321129,2.351999998
2002.536,79.19246674,0.402744979,2.904248714,2.351999998
2002.6884,83.78908539,0.442955792,2.69686079,2.276000023
2002.8408,83.81909943,0.473401934,2.565793037,2.224999905
2002.9932,80.56563568,0.4540959,2.70501852,2.220000029
2003.1456,74.60337067,0.410830498,3.207237005,2.325000048
2003.298,66.88005066,0.359345347,3.764552355,2.460000038
2003.4504,63.17175674,0.304200262,4.228871822,2.520999908
2003.6028,63.6494751,0.324316084,4.730041504,2.503000021
2003.7552,73.39586639,0.344858378,4.884586811,2.404000044
2003.9076,75.67667389,0.380470157,3.397292137,2.312000036
